13:15:27--Object temp:27.35--Ambient temp:29.21
13:15:28--Object temp:27.41--Ambient temp:29.23
13:15:29--Object temp:27.53--Ambient temp:29.19
13:15:30--Object temp:27.59--Ambient temp:29.23
13:15:31--Object temp:27.67--Ambient temp:29.19
13:15:32--Object temp:27.59--Ambient temp:29.19
13:15:33--Object temp:27.55--Ambient temp:29.23
13:15:34--Object temp:27.67--Ambient temp:29.17
13:15:35--Object temp:30.29--Ambient temp:29.17
13:15:36--Object temp:28.05--Ambient temp:29.19
13:15:37--Object temp:29.91--Ambient temp:29.15
13:15:38--Object temp:31.75--Ambient temp:29.19
13:15:39--Object temp:34.85--Ambient temp:29.25
13:15:40--Object temp:34.45--Ambient temp:29.25
13:15:41--Object temp:35.37--Ambient temp:29.35
13:15:42--Object temp:35.55--Ambient temp:29.45
13:15:43--Object temp:35.53--Ambient temp:29.57
13:15:44--Object temp:35.51--Ambient temp:29.65
13:15:45--Object temp:35.39--Ambient temp:29.79
13:15:46--Object temp:33.83--Ambient temp:29.87
13:15:47--Object temp:34.23--Ambient temp:29.89
13:15:48--Object temp:34.39--Ambient temp:30.03
13:15:49--Object temp:29.05--Ambient temp:30.15
13:15:50--Object temp:28.07--Ambient temp:30.15
13:15:51--Object temp:28.05--Ambient temp:30.15
13:15:52--Object temp:27.69--Ambient temp:30.11
13:15:53--Object temp:28.01--Ambient temp:30.07
13:15:54--Object temp:27.67--Ambient temp:30.07
13:15:55--Object temp:27.87--Ambient temp:30.11
13:15:56--Object temp:28.59--Ambient temp:30.07
13:15:57--Object temp:30.09--Ambient temp:30.05
13:15:58--Object temp:30.93--Ambient temp:30.05
13:15:59--Object temp:30.39--Ambient temp:30.07
13:16:00--Object temp:29.91--Ambient temp:30.05
13:16:01--Object temp:27.85--Ambient temp:30.01
13:16:02--Object temp:27.67--Ambient temp:30.01
13:16:03--Object temp:27.61--Ambient temp:30.01
13:16:04--Object temp:27.79--Ambient temp:30.03
13:16:05--Object temp:27.69--Ambient temp:30.01
13:16:06--Object temp:27.63--Ambient temp:29.97
13:16:07--Object temp:29.09--Ambient temp:29.91
13:16:08--Object temp:37.83--Ambient temp:29.99
13:16:09--Object temp:39.85--Ambient temp:30.13
13:16:10--Object temp:39.45--Ambient temp:30.33
13:16:11--Object temp:38.85--Ambient temp:30.47
13:16:12--Object temp:31.81--Ambient temp:30.55
13:16:13--Object temp:28.37--Ambient temp:30.55
13:16:14--Object temp:27.85--Ambient temp:30.55
13:16:15--Object temp:27.61--Ambient temp:30.55
13:16:16--Object temp:27.69--Ambient temp:30.53
13:16:17--Object temp:27.67--Ambient temp:30.53
